Metric,Unit,x,y,POP.2020.SSP1,POP.2030.SSP1,POP.2040.SSP1,POP.2050.SSP1,POP.2060.SSP1,POP.2070.SSP1,POP.2080.SSP1,POP.2090.SSP1,POP.2100.SSP1,POP.2020.SSP2,POP.2030.SSP2,POP.2040.SSP2,POP.2050.SSP2,POP.2060.SSP2,POP.2070.SSP2,POP.2080.SSP2,POP.2090.SSP2,POP.2100.SSP2,POP.2020.SSP3,POP.2030.SSP3,POP.2040.SSP3,POP.2050.SSP3,POP.2060.SSP3,POP.2070.SSP3,POP.2080.SSP3,POP.2090.SSP3,POP.2100.SSP3,POP.2020.SSP4,POP.2030.SSP4,POP.2040.SSP4,POP.2050.SSP4,POP.2060.SSP4,POP.2070.SSP4,POP.2080.SSP4,POP.2090.SSP4,POP.2100.SSP4,POP.2020.SSP5,POP.2030.SSP5,POP.2040.SSP5,POP.2050.SSP5,POP.2060.SSP5,POP.2070.SSP5,POP.2080.SSP5,POP.2090.SSP5,POP.2100.SSP5
Population,headcount,241500,685500,5.886639118,5.8085818289999995,5.788478373999999,5.865122317999999,6.014101028,6.143714427999999,6.1443324089999996,6.1236920360000004,6.016014576,5.886639118,5.759418964,5.683000565,5.764953136,5.90870142,6.036293507000001,6.08136797,6.134935856,6.136624812999999,5.886639118,5.44988203,5.170716286,4.9542493819999995,5.209721565,5.039582253,4.7730641369999995,4.54396534,4.218503475,5.886639118,5.589853764,5.918306351,5.849144936,5.812062263,5.728613377,5.51234293,5.314770698999999,4.956119537,5.886639118,7.080965996000001,7.312345505,7.7821397779999995,8.46614933,9.358293533,10.53180885,11.76590538,12.25599289
Population,headcount,242500,685500,106.9676971,105.53634640000001,105.25846100000001,106.67165370000001,109.37242890000002,111.7501602,111.7535553,111.37129209999999,109.40599820000001,106.9676971,104.6424255,103.2694702,104.74973299999999,107.35273740000001,109.66236880000001,110.47273249999999,111.437973,111.461731,106.9676971,99.6052475,93.76670074,89.83599854,95.75679016,92.62612152,87.74234009,83.5278244,77.54121399,106.9676971,101.56262209999998,99.93824005,98.77646637,98.12976837,96.70396423,93.04092407,89.76126099,83.69744873,106.9676971,128.6425476,132.9405212,141.4587555,153.9703827,170.23408510000002,191.8072052,202.2225647,210.70480350000003
Population,headcount,243500,685500,9.490814209,9.363143921,9.36473465,9.490022659,9.729874611,9.941001892000001,9.940937042,9.906599045,9.731470108,9.490814209,9.283798218,9.161359787,9.294697762,9.525170326,9.732118607,9.808494567999999,9.896109581000001,9.897668839,9.490814209,8.874203682000001,8.355653763,8.004983902000001,8.490427971,8.214585304,7.781141281,7.408899307,6.877569675,9.490814209,9.010611534,8.856529236,8.757721901,8.699826241,8.572934151,8.247763634,7.957034588,7.4191713329999995,9.490814209,10.70016479,11.08018684,11.79427719,12.76063156,15.89153194,17.84392929,18.80245781,19.58934021
Population,headcount,244500,685500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.143197536000001,5.475121497999999,5.776028632999999,6.01832056
Population,headcount,238500,684500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,239500,684500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9928414819999998,3.833751678,3.6304192539999995,3.430609226,3.184874058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.739803314,9.105683327000001
Population,headcount,240500,684500,11.16428089,11.10597801,11.06623268,11.21314621,11.49830723,11.74635792,11.74777603,11.70846081,11.50284767,11.16428089,10.923392300000001,10.77887249,10.93444538,11.20444679,11.44660187,11.53233051,11.63415146,11.63475704,11.16428089,10.30363274,10.47047424,10.02931595,9.758401871,9.368881226000001,8.871528625,8.446190834,7.841277599,11.16428089,10.6017561,11.21481037,11.08398724,11.01651096,10.85600662,10.44628811,10.07099915,9.391440392,11.16428089,12.33716011,12.76705265,13.59062195,14.91119862,16.62805557,18.78853226,21.19787598,22.08049202
Population,headcount,241500,684500,9.187260627999999,9.065356255,9.032458305,9.151909827999999,9.384214401,9.586240768,9.587018013,9.554587364,9.386473656,9.187260627999999,8.988613128999999,8.871686935,9.001628876,9.225865364,9.422449112,9.492658615,9.576143265,9.578588486000001,9.187260627999999,8.513206482000001,8.01312542,7.677262306,8.055745125,7.791880608,7.379598617999999,7.024698257000001,6.52139616,9.187260627999999,8.723970413,9.199433327000001,9.093952179,9.038229942000001,8.906241417,8.569797516,8.261423111000001,7.703713894,9.187260627999999,10.90389442,11.25862694,11.97762871,13.03213787,14.49483204,16.29788971,18.192510600000002,18.94728661
Population,headcount,242500,684500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30783987,4.166283131,3.94657445,3.75635314,3.487143755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.835879802999999,6.023526669,6.407691956,6.973704337999999,7.753340721,9.171867371,9.660282135,10.06316948
Population,headcount,243500,684500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8976461889999996,3.691977739,3.51516223,3.26308012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.080583572,5.722668647999999,6.027687072999999,6.279027939
